"","x"
"RightWordWriter",4
"Ringuette",3
"Ritalynman",3
"rlbaldwinartist",4
"RonPaul4Dummies",3
"RonPaulRaps",3
"rosalindakilmer",3
"rottenartrants",3
"RP2012chick",3
"RPaulTShirtDay",3
"runforfun54",4
"rvedrenne",3
"Rwandankunda",3
"RWBowen",3
"ryanfinnegan",4
"RyanJGill",3
"safrant",3
"SammyN90",4
"SchoolerLA",4
"seaneddington85",4
"Shavaun66",3
"shellypooh38",3
"sherijr",6
"shortformblog",4
"singh_to_me",3
"SingleSlipUp",3
"sjh2222",4
"skunkwkrz",4
"Sleevetalkshow",4
"SMcBrideR",3
"SnookyTLC",6
"SoNaztee",4
"spunkyAFshorty",4
"SRDaniels",3
"sskywalkerr",3
"StacieEVoL",4
"StephenBabe",5
"stjohnswoods",3
"STL4Huntsman",3
"SunshineCT",3
"superbug75",4
"surfcitysocal",3
"SvenStraatveit",3
"SVSalon",8
"SyedaMiftah92",3
"t_bombers",6
"tad_482",4
"tahDeetz",4
"TempeBacon",4
"teresamccarthy",3
"texas_hellcat",5
"TexSean",3
"The_5_is_silent",3
"TheChickAbides",3
"thelovelytruth",4
"thenewinfluence",4
"TheOldOakInfo",5
"therightjenn",4
"theshex",3
"THov845",4
"timothy_stanley",3
"TinaKorbe",3
"tinklebott",3
"TNforHuntsman",5
"toni_sofly",3
"TPGee",3
"TransientMind",3
"Travis_CL",4
"TravisJHoller",3
"TravisSeitler",3
"truluv4liberty",5
"trunolesfan16",4
"TuffLikeHuff",4
"Txsleuth",5
"unavozunida",3
"uptownjaybee",3
"USAforFreeLibya",3
"usernamenuse",7
"VanessaAKnox",4
"Visionaryck",3
"VixSofii",3
"waflanagan",3
"wai1twit",4
"wavingcrosser",3
"whistle39",8
"whizchem",3
"WolfNW",3
"Women4Huntsman",8
"Xfilespoker",3
"yasmineelsabawi",4
"YayforSummer",3
"Yes2Pot",3
"YoungDiplomat",3
"z1y2x3",3
"zacksoccer",3
"zaswadosaze",3
