"","x"
"bacmann",1
"badatgeography",1
"badsocialskills",1
"badweather",1
"bahrain",1
"bd",1
"bdaymaster",1
"bearding",1
"beefin'",1
"bestcommentallnight",1
"bestofthebest",1
"betdebate",1
"betteranswer",1
"bho",1
"biggestloser",1
"biggovernment?",1
"bingbong",1
"binladen?",1
"bizarroworld",1
"blahblahblah",1
"blessherheart",1
"blorf!",1
"blunders",1
"boo",1
"boring",1
"bostonga",1
"bothlooklikeasnlskit",1
"bowden2016",1
"boycottisrael",1
"bradleymanning",1
"braves",1
"breakingnews",1
"brewstersmillions",1
"brotherhood",1
"bumpersticker",1
"bush",1
"bush3.0",1
"buzzwordbingo",1
"buzzzzzzzzzzz",1
"cain's",1
"caingasm",1
"cainiac",1
"cainidoutofhisdepth",1
"caininternalmonologue",1
"cainreminders",1
"cainwrek,bauchman,santorun,perry",1
"cairo",1
"can",1
"canada.",1
"canadiens",1
"candidates",1
"canthashtagnumbers",1
"cantmakethisshitup",1
"canttakeit",1
"canucks",1
"capitalism",1
"caring",1
"catchphrase",1
"cats",1
"cavemanpaul",1
"censorship",1
"checksomefuckinbody",1
"chemtrail",1
"cheney",1
"cheney's",1
"childobesityisanationaldefenseissue?",1
"childrenofmen",1
"china!!!",1
"china?",1
"china...",1
"china)",1
"chinascaresme",1
"chrisfarelydidagreatnewtgingrich",1
"ci225",1
"classicalliberalism",1
"classy",1
"cliches",1
"clowninchief",1
"clowninchiefdebate",1
"clowns.",1
"cmonnow",1
"cnn,",1
"cnn.",1
"cnnajokedebate",1
"cnnblows",1
"cnndbate",1
"cnndebate-he's",1
"cnndebate-love",1
"cnndebate-speak",1
"cnndebate;",1
"cnndebate!!!",1
"cnndebate?!",1
"cnndebate?!?",1
"cnndebate?afraid",1
"cnndebate.....",1
"cnndebate......",1
"cnndebate....holla!",1
"cnndebate....somebody",1
"cnndebate....why",1
"cnndebate...huntsmans",1
"cnndebate...will",1
"cnndebate...wtf",1
"cnndebate..after",1
"cnndebate..i",1
"cnndebate.&quot;",1
"cnndebate.#cain",1
"cnndebate.com",1
"cnndebate.what",1
"cnndebate@ronpaul",1
"cnndebate/&amp;",1
"cnndebate&",1
"cnndebate&lt;&lt;",1
"cnndebate&lt;amen!",1
"cnndebate&quot;//",1
"cnndebate&quot;//hahaha",1
"cnndebate&quot;/kick",1
"cnndebate&quot;&lt;",1
"cnndebate&quot;&lt;y",1
"cnndebate&quot;#fb",1
"cnndebate&quot;at",1
"cnndebate&quot;rotfl",1
"cnndebate`",1
"cnnfail",1
"cnnneocondebate",1
"cnzndebate",1
"cod4life",1
"codecracking",1
"colbert",1
"coldwar",1
"colloquial",1
"comedycentral",1
"comeon",1
"commies",1
"communication",1
"congress",1
"conservatarian",1
"conspiracy",1
"coolio",1
"couldbejustaboutanything",1
"covertaction",1
"covertaffairs!",1
"cowboypoetry",1
"cr?stcr?e",1
"crazyrepublicans",1
"crazytalk",1
"credit",1
"creditwheredue.",1
"cupidcalledcaffeine??",1
"curveball",1
"cuttilthecowscomehome",1
"cyberattack,",1
"cyberattacks",1
"cybermen",1
"cybernationalsecurity",1
"cybersecurity",1
"cyberterrorist",1
"cyprus",1
"dalekswin",1
"damn",1
"dangeriousmind",1
"darthvader",1
"dasboot",1
"deathstare",1
"debate?",1
"debatedrinkinggame",1
"debates",1
"debt,",1
"debtcrisis.",1
"december-21-2012",1
"democrats",1
"despicable",1
"dick",1
"dickhead",1
"didyouknowivebeentochina",1
"digitaljustice",1
"diplomacymuch?",1
"disappointed",1
"ditto",1
"diversityisabeautifulthing",1
"doctorwho",1
"dodgingthequestion",1
"doityourselfrootcanal",1
"domf",1
"dominotheory",1
"dontchangethesubject",1
"dontmakemepickone",1
"dontvote",1
"doppelganger",1
"dosrules",1
"doublefail",1
"doublespeak",1
"dountoothers",1
"downgoesthedeer",1
"dowopdowop",1
"doyoualwaysspeakiniambicverse",1
"dream",1
"dreamact,",1
"dreamersofvirginia",1
"drink!",1
"drinkinggame",1
"drinkinggames",1
"drunkle",1
"drunkle)",1
"dubiousatbest",1
"dubstep",1
"durbin",1
"economiccrisis",1
"economicsantions",1
"economy?",1
"educationisanationaldefenseissue?",1
"egypt?",1
"egyptians",1
"eightiesrocked",1
"empty",1
"endlesswar",1
"enough",1
"enoughpolitics",1
"esbroma?",1
"estoyatras",1
"etc",1
"europe",1
"europe)",1
"evilbethoumygood",1
"evolution",1
"exceptionalism",1
"executions",1
"expiration",1
"explodingdeficit",1
"facebook",1
"factcheckthis",1
"factmachine",1
"facts",1
"fail-ing.",1
"fail.",1
"familyvalues",1
"fashionweek",1
"fastandfurious?",1
"fearmongers",1
"federaltaxes",1
"fem2",1
"ffzzz",1
"fightforfreedom",1
"fightterror",1
"finally",1
"firecongress110611",1
"firstworldproblems",1
"fissilematerial?",1
"flipflopconviction",1
"float:",1
"foh",1
"fok",1
"foreignpolicy.",1
"foreignpolicynightmare",1
"forgotaboutthatlastone",1
"fox35",1
"foxnews",1
"fpexpert",1
"frankly,",1
"freemarket",1
"frequentfliermi",1
"friends",1
"frighteningfail.",1
"fringe",1
"frontrunner",1
"frothy",1
"ftlog",1
"ftrradio",1
"fuckinga",1
"fuckiran",1
"fucknewtgingrich",1
"fucknewtgingrich&quot;",1
"fuckoff",1
"fuckyeah",1
"fuckyou1billionpeople",1
"fullcollapse",1
"funnybecausehesintheaudience",1
"gaffe",1
"gagop",1
"gansettprobs",1
"general",1
"generalassembly",1
"geographybrushupsplease",1
"geographyfail",1
"geographytest",1
"georgecarlin",1
"getdafuckoutofhere",1
"getemperry",1
"getoutnow",1
"getreal",1
"getsmyvote",1
"getthehelloutofthemiddleeast",1
"gettingthewarbandbacktogether",1
"gh",1
"giantdouchevturdsandwich",1
"gimmeabreak",1
"gingrich,",1
"gingrich:",1
"globalizationftw",1
"goabortions",1
"goaway",1
"godfatherpizza",1
"godfathershome",1
"godfatherspizzaisommnomnom",1
"gofigure",1
"goinham",1
"gold",1
"goldmansachs",1
"goodanswer",1
"goodluck",1
"googlesantorum",1
"googlesantorum.",1
"gop:",1
"gop!",1
"gop...",1
"gop's",1
"goparanoid",1
"gopcandidates,",1
"gopcandidets",1
"gopclowns",1
"gopclownshow",1
"gopclusterfuck",1
"gopdate",1
"gopdebate!",1
"gopdebate...",1
"gopdebate)",1
"gopdoesntchange",1
"gopers",1
"gopliars",1
"gopmakesnodamnsense",1
"gopnationalsecuritydebate",1
"gopnom2012.",1
"gosantorum!",1
"govgoodhair",1
"gratefuldead",1
"greatidea",1
"greencard",1
"gross",1
"grossjoke",1
"groweconomy",1
"gts",1
"gunwalker",1
"gwbush",1
"ha!",1
"happythanksgiving",1
"hatedookies",1
"hatethisguy",1
"hdtv",1
"heactuallymakessense",1
"headinthesand",1
"hedoneitnow",1
"heisnotarepublican",1
"hell",1
"helpme!",1
"heritagedebate",1
"hermaincain-",1
"hermancain:",1
"hermancainslisp",1
"hermanwho",1
"hewhosmelleditdealtit",1
"hindenburg&quot;&lt;&lt;ha",1
"hispanicon",1
"historyrepeatingitself",1
"hoboken's",1
"homeland.",1
"honduras",1
"honestquestion.",1
"honorarylatino",1
"hostthehobbits",1
"howaboutthemapples",1
"howdidwegethere?",1
"howmanytimeshasherun",1
"hr1983",1
"hr2106:",1
"hres345",1
"huh",1
"huh?",1
"humblebrag",1
"huntsman--the",1
"huntsman?",1
"huntsman.....#cnndebate",1
"huntsman...you",1
"huntsmania",1
"huntsmanisanidiot",1
"huntsmann",1
"huntsmans",1
"huntsmanwinsfopo",1
"iagreewithrick",1
"iamthe53",1
"icanseerussiafrommyhouse",1
"icp",1
"idpayforthat&quot;",1
"ignorance",1
"ignoranceisanationaldefenseissue?",1
"ihatemyself",1
"ihope",1
"iinterpretedthatmyownway",1
"ilied",1
"illuminati",1
"imadeit!",1
"immigration.",1
"immigration/border",1
"immigrationpolicy",1
"imoneofthem",1
"imstillhere",1
"imsureheisimportanttosomeone",1
"inamerica",1
"indecisive",1
"infosec",1
"inhisbook",1
"insanity.",1
"insider",1
"internationalballer",1
"iproposewedefeatturkeybyeatingit",1
"iran!",1
"iran...",1
"iran's",1
"iran&quot;",1
"irans",1
"iraq,",1
"iraq.",1
"iraq.&quot;",1
"irrelevant",1
"ish",1
"isitoveryet",1
"islam",1
"islamofascist",1
"isolationist?",1
"israel...&quot;",1
"israel's",1
"israel&quot;#cnndebate",1
"israelisahotlocation",1
"isthatreal",1
"isthisoveryet",1
"isthisreallife",1
"itcouldbenews",1
"itgoesbyyourmouth",1
"itistoofuckingeasy",1
"itsagoodone",1
"itscalledagreencard",1
"itsinthename!",1
"ivebeentochina",1
"ivotenoneofthesecandidates",1
"iwastheambassadortochina",1
"jackbauer",1
"jaffa48",1
"jerseyboys",1
"jerseyshore.",1
"jimmycarter",1
"job.......#getalife",1
"jobs,",1
"jobs.",1
"joemccarthyinthehouse",1
"jointhehunt",1
"jokeofacandidate",1
"jon2012hq",1
"jonhunstman",1
"just2bclear",1
"justasking",1
"justwartheory",1
"katherinezimmerman",1
"kermitforpresident",1
"keystoneyes!",1
"killemall",1
"killjoy",1
"killmenow",1
"kimkardashian",1
"kimkardasian",1
"kindergartenrules",1
"kmn",1
"knowledge",1
"knowmore",1
"knowyourgeography",1
"kthx",1
"kubball",1
"kubball.",1
"kudostoperry",1
"ladiesandgentleman",1
"ladiesandgentlemen",1
"lameanswer",1
"lastquestion",1
"lastword",1
"latinos",1
"letsbereal",1
"letsgotowareverywhere",1
"letthemittspeak",1
"lewisblack",1
"lgbt",1
"lgpepperoniplease",1
"liberal",1
"liberalmedia",1
"libertarienjusquauboutdesongles",1
"liberty.",1
"libya?",1
"libya.",1
"lightweight",1
"lipsfordays.",1
"localfood",1
"lol",1
"loling",1
"lolno",1
"lolwut",1
"longlivethequeen",1
"losing",1
"loudmouth",1
"love",1
"lovebradpitt",1
"lovetheforeigner",1
"lowerthemicrophone",1
"lowexpectations",1
"lyingbitch",1
"m...",1
"magicdemocracywords.",1
"magnets",1
"magnetsattack",1
"makeitstop",1
"makesmelaugh",1
"mapoli",1
"marijuana",1
"marijuana.",1
"martiallaw",1
"mauiclassic",1
"maybeitsmaybelline",1
"me...",1
"mediabias",1
"medicalmarijuana",1
"megadissing",1
"meme.",1
"mepolitics",1
"mercilesspander",1
"merica",1
"mericafuckyeah",1
"michelebachman",1
"michellebachman",1
"michellebachman,",1
"mindourownbusiness",1
"minny",1
"misguidedgop",1
"misinformed",1
"miss37",1
"missedthemark",1
"missingpieces",1
"mit",1
"mitt,",1
"mitten:",1
"mittens",1
"mittromney.",1
"mittzombie!",1
"mixedfeelingsforme",1
"mlb's",1
"mmot",1
"monopoly",1
"mormonism",1
"mormonkombat",1
"mostimproved",1
"msnbc",1
"mulligan",1
"mydad",1
"myob",1
"mythamerica",1
"nahjustamistake",1
"nakba",1
"nameviolation",1
"nascar",1
"nationalism.",1
"nationalsecuritythreat",1
"nba",1
"nbalockout",1
"neo-mcharthyism?",1
"neocon",1
"neocon's",1
"neoconkoolaid",1
"nerd",1
"nerdmoment",1
"nevergonnabepresident",1
"newbatmanvillain",1
"newdrinkinggame",1
"newjersey",1
"news:",1
"newshit",1
"newt,",1
"newt:",1
"newt:noemt",1
"newt...#gopdebate",1
"newt2012hq",1
"newtgingrich:",1
"newtginrich,",1
"newtonium",1
"newtrules",1
"newttightropewalks",1
"no",1
"nobody",1
"nobrainzone",1
"noexplanation",1
"nofactzone",1
"nogusta",1
"nohate",1
"nojoker",1
"noleadership",1
"noliberalbiashere",1
"nonstopentertainment",1
"norquist.",1
"northkorea",1
"nosense",1
"nosweatshirtsallowed",1
"notaclichedjokeatall",1
"notacountry",1
"notarealdentist",1
"notblitzthough",1
"notevenclose",1
"notgonnahappen",1
"notgonnahelp",1
"notherm",1
"nothingabouteurope",1
"notmitt",1
"notreallybutclose",1
"notwatchingthedebate",1
"nowayjose",1
"nowinnertonight",1
"nuancedanalysis",1
"nuclear",1
"nut",1
"nutters",1
"ny",1
"obama,",1
"obama2012's",1
"obamacredit?",1
"obamawonbeforethefirstquestion",1
"oblivious.",1
"occuping",1
"occupy!",1
"occupychicago",1
"occupyegypt",1
"occupyeverywhere",1
"occupying",1
"occupyme",1
"occupymyhole",1
"occupyoakland,",1
"occupyresolutedesk",1
"occupysf,",1
"occupytahrirsquare",1
"occupythetaliban",1
"occupythevote",1
"occupywallst",1
"oceans13",1
"oceanseleven",1
"ocuppycountry&quot;",1
"offthedeepend",1
"ofy",1
"oh",1
"ohbytheway",1
"ohdearmoment3",1
"ohsnap",1
"ohwait",1
"ohwell",1
"oil",1
"oldjokes",1
"oldman",1
"omg",1
"oneandout",1
"onlyinamerica",1
"ooc",1
"oof",1
"oopsmoment?",1
"oppositeday",1
"outfront",1
"outrage",1
"ows:",1
"owstakenote",1
"p2&quot;//at",1
"pak",1
"palin",1
"parade",1
"pathetic",1
"patriotic",1
"paul,",1
"paul?",1
"paul2012",1
"peace",1
"peartree",1
"peartree:",1
"pepfar.",1
"pepperspraycop",1
"perry?",1
"perry's",1
"perryisms",1
"perrylickingromneysear!",1
"persiansummerautumnwinter",1
"petrescue",1
"peutrid",1
"philly",1
"piersmorgan",1
"pimphand",1
"pisspoor",1
"pizzawillcome",1
"planetx",1
"pleasedieorbeconvicteddavidaddington",1
"plsc439",1
"poleshift",1
"policywonks",1
"politicjunkie",1
"polqc",1
"porfavorquelecaigaunrayo",1
"potcallingthekettleblack",1
"potus",1
"povertyisanationaldefenseissue?",1
"prc",1
"preachpeace",1
"president2012",1
"presidentobama",1
"presidentobama's",1
"press",1
"priorities",1
"privacy",1
"progress",1
"proisrael",1
"protectingtheirownasses",1
"protests",1
"pscuzeme?!",1
"psn",1
"puns",1
"puntastic",1
"purecomedy",1
"qu?b?cois",1
"question",1
"questioners",1
"questionsgettinweak",1
"quickly",1
"quitwhileyourbehind",1
"r3volution",1
"radical",1
"radicalislamism",1
"rambling?",1
"reagan.",1
"real",1
"really!?!",1
"really?",1
"realtalk",1
"rebuildamerica",1
"redcard",1
"rejectedcerealad",1
"rememberarabspring",1
"repronpaul",1
"reptilianromney",1
"repub",1
"republican-",1
"republican,",1
"republicanos",1
"republicanposer",1
"republicansrhypocrites!!",1
"republicanswillnukeyou",1
"republicanwisdom",1
"repubs",1
"resistancetopoutineisfutile",1
"restoreamericanow",1
"retweet",1
"reversegoldenrule",1
"revolution2012",1
"revolutionusa",1
"rhetoricalquestions",1
"rickperry:",1
"rickperryknowshowtopickanenemy",1
"rickperrythoughts",1
"rickperrytweets",1
"ricksantorum:",1
"ridiculous",1
"rightmi",1
"risky",1
"rlq",1
"roar",1
"robertgates",1
"rommney!",1
"romney's",1
"romneyball",1
"romneycantdrinkbutineedto",1
"romneycare",1
"romneyedit",1
"romneyedit:",1
"ron#paul:",1
"ronmey",1
"ronpaul-",1
"ronpaul-if",1
"ronpaulfails",1
"ronpaulforprez!",1
"ronpaulneedsanap",1
"ronpaulpanicattack",1
"ronpaulworried",1
"royaltaunembaums",1
"rpof",1
"run!",1
"s1388",1
"s1472",1
"s413:",1
"saidsomethingtrue",1
"sanctions",1
"sanctionsdontwork",1
"santorum,",1
"santroum",1
"sarahpalin",1
"sarcasm?",1
"satire",1
"saudi",1
"scaretactics",1
"scarypeopleaskingquestionstoscarypeople",1
"school",1
"scooterlibby",1
"score",1
"secondcoming",1
"secretsourcestoldme",1
"security.",1
"senronpaul",1
"serialdeceiver",1
"serious",1
"seriousness",1
"seriousness,",1
"sexappeal",1
"shamelessplug",1
"shedontknowshit",1
"shelooksahotmess",1
"shesontheintelligencecommittee",1
"shifty",1
"shitjusgotreal",1
"shortergop",1
"shotsfired",1
"shouldhavegonetoyalelikebush",1
"showcancelled",1
"shutdownalec",1
"shutthefuckup",1
"shutup",1
"shutupcain",1
"shyster",1
"sickofit",1
"sincewearesharing",1
"slacker",1
"slick",1
"slogans",1
"smarterthanyouraveragejournalist",1
"smooth",1
"snl.",1
"snoopkardashian",1
"socialism.",1
"sodamnsexytonight.",1
"soflyzone.",1
"somantics",1
"somolia,",1
"sonsofanarchy",1
"sorry",1
"sothatswhyamericanswillneverelecthim",1
"soundbytesorbust",1
"soundedlike",1
"sovietunion?",1
"sowrong.",1
"specialinterest",1
"spoiled",1
"ssn?",1
"staffadvice",1
"standwithisrael",1
"statingtheobvious",1
"stayfrothy",1
"stayontopic",1
"stevenoamericanjobs!",1
"stinks",1
"stolenjoke",1
"stooopid",1
"stopgivingthemideas",1
"stoptalking",1
"stopthedrugwar",1
"storagewars'",1
"straining",1
"strategy",1
"strengthclarity",1
"stupid",1
"stupid=&gt;'perry:",1
"stupidamericanpoliticians",1
"sturmanddrang",1
"subtweet",1
"suckforluck",1
"sum41",1
"supercommittee,",1
"superfail",1
"superfailure",1
"superiority?",1
"suspicious",1
"swag",1
"sweden",1
"synapsesnolongerconnected",1
"syntax",1
"syria&quot;",1
"syriaaaaaaaa",1
"syrian",1
"syriantanksarethe99percent",1
"syriusaboutsyria",1
"tahrir,",1
"tahrir??",1
"tahrirsquare!",1
"talkingheads",1
"tardcaucus",1
"taylorswift",1
"tcot.",1
"tcot\#gopdebate",1
"teamastro",1
"teamnewt",1
"teamrickperry",1
"teaparty&quot;",1
"teapartygodfather",1
"teargas",1
"tempted",1
"terrorism",1
"terrorists",1
"thankful?",1
"thankgoditsover",1
"thanksfortheupdatemitt",1
"thatjusthappened",1
"thatwaseasy",1
"thealqaeda.",1
"thebeanwalker",1
"thehermanator",1
"theherritagefoundation:",1
"thejoker:",1
"thelittleenginethatcouldnt",1
"thepavingonthepathtohell",1
"theregoesthenativistlobby",1
"thesecret",1
"theticket",1
"theycantcompete",1
"thingsgopcandidatesteachus",1
"thingsworsethanbooingmichelle",1
"thingsyoucantadmit",1
"thinktank",1
"this",1
"this!",1
