from_user,to_user
james_bkelly,wisconsinreport
SouthsideZorro,jwigderson
madturtle65,GovWalker
madturtle65,GovWalker
BrianLarsen970,tosasoccerdad
steelekelly,GovWalker
Aqua_Buddah,GovWalker
james_bkelly,GovWalker
steelekelly,GovWalker
jenniferlepps,MahlonMitchell
nomorespend,stormkrow
nomorespend,Harvey_Edwards
nomorespend,Harvey_Edwards
nomorespend,Harvey_Edwards
NotHappyRepub,govwalker
SouthsideZorro,WRTL
SouthsideZorro,MarkMaley
Ian_Murphy,obrienforgovern
SouthsideZorro,MikeJohnson_JS
55Bentley,hershinmad
PeacefulVox,WeGotEd
justusgrl,nomorespend
SouthsideZorro,briansikma
ScottWalkersSUV,ncginny
JakeMillerWis,CarterFliptMe
SouthsideZorro,wisgop
worldoccupation,artforgov
worldoccupation,artforgov
PurrpleCatMama,TheBradBlog
GiniCoefficien1,MarkPocan
GiniCoefficien1,ChrisJLarson
NotHappyRepub,govwalker
lluttig,NicholsUprising
Michael_Haz,BrownDeerRepub
NEWIConservativ,BrownDeerRepub
Tamra4Senate,Lehmanforsenate
SouthsideZorro,GovWalker
SouthsideZorro,StopUnionBully
SouthsideZorro,StopUnionBully
nomorespend,MaryErpenbach
JakeMillerWis,WiStateJournal
sweet1kim,hilltopcustoms
klstone1969,KeithOlbermann
JakeMillerWis,CarterFliptMe
JakeMillerWis,ThePlumLineGS
nomorespend,wisocialworker
JakeMillerWis,jimwitkins
ejkirkstein,GovWalker̢
nomorespend,pamster99
nomorespend,keldahelenroys
WI4Falk,FalkForWI
ejkirkstein,GovWalker
StandUpWis,GovWalker
rodgers_jeff,gjzielinski
RWwatchMA,ElizabethForMA
JakeMillerWis,Cog_Dis
SouthsideZorro,turnsc
JakeMillerWis,js_politics
StandUpWis,GovWalker
UnitedWisconsin,GovWalker
Jeff_Cota,FalkforWI
StandUpWis,amazon
StandUpWis,channel_3000
StandUpWis,TODAYSTMJ4
StandUpWis,WISN12News
StandUpWis,WBAY
RedWisconsin,BadgerNative
RedWisconsin,BadgerNative
Wi_Fwd,GovWalker's
nomorespend,wisaflcio
PeacefulVox,MMFlint
PeacefulVox,WeGotEd
4speech,EdShow
worldoccupation,artforgov
shreksshrek,Muxywithmoxie
Milesfbaker,GovWalker
StandUpWis,Walmart
StandUpWis,govwalker
StandUpWis,GovWalker
StandUpWis,GovWalker
muttmutt,KristoferCowles
StandUpWis,GovWalker
StandUpWis,GovWalker
InWisc88,BPshow
50isthenew50,cr8f
StandUpWis,GovWalker
StandUpWis,GovWalker
rodgers_jeff,gjzielinski
LegInsurrection,Schneider_CM
james_bkelly,ScottKWalker
rodgers_jeff,gjzielinski
DanDoranBlum,ScottKWalker
rodgers_jeff,gjzielinski
nomorespend,forwardwithkurt
nomorespend,forwardwithkurt
StandUpWis,GovWalker
muttmutt,p8riot
StevenSchuster,GovWalker
EmerDuck,GovWalker
muttmutt,NEWIConservativ
lluttig,GovWalker
muttmutt,jaimec25
moochiesomain,RichardTrumka
StandUpWis,GovWalker
paellacook,BarbCaffrey
craigspaulding,govwalker
TruthSucceeds,vavolineJ
BobEwoldt,ScottWalker
unkybunky,nomorespend
deafear,maddow
dp_v2,BadgerLauren
muttmutt,cr8f
muttmutt,cr8f
Meg_Moen,GovWalker
StandUpWis,GovWalker
StandUpWis,GovWalker
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
SouthsideZorro,wisgop
StandUpWis,GovWalker
muttmutt,p8riot
DevonTMCook,GovWalker
james_bkelly,GovWalker
SouthsideZorro,terrymoulton
SouthsideZorro,GovWalker
SouthsideZorro,turnsc
SouthsideZorro,MacIverWisc
SouthsideZorro,ManleyWMC
SouthsideZorro,WaukeshaCounty
lluttig,maddow
nomorespend,AmyBarrilleaux
NotHappyRepub,govwalker
BetoGuero,
BetoGuero,UW-Whitewater
BetoGuero,UW-Whitewater
BetoGuero,UW-Whitewater
pryerheather,nomorespend
StandUpWis,GovWalker
nomorespend,cr8f
Amy__Bailey,govwalker
paellacook,muttmutt
SouthsideZorro,WRTL
Pworldawg,walker
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
JakeMillerWis,Miss_Wisconsin
ejkirkstein,WeGotEd
Aqua_Buddah,MaddowBlog
JakeMillerWis,Miss_Wisconsin
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
SouthsideZorro,RebeccaforReal
SouthsideZorro,MacIverWisc
SouthsideZorro,MacIverWisc
dcalliari,MahlonMitchell
SouthsideZorro,briansikma
SouthsideZorro,MacIverWisc
davecatanese,WisDems
FlumesNotifier,flumesnotifier
rodgers_jeff,gjzielinski
JakeMillerWis,Miss_Wisconsin
nomorespend,Barrett4WI
JakeMillerWis,nomorespend
PatGarrett92,LeahVukmir
PatGarrett92,Dan_Denis
JakeMillerWis,Miss_Wisconsin
JakeMillerWis,Miss_Wisconsin
SouthsideZorro,wisconsinreport
klstone1969,LiizaAmaL3LY14
NotHappyRepub,govwalker
JakeMillerWis,Miss_Wisconsin
OrwellGhost,Synergy3k
StandUpWis,GovWalker
leftistcocktail,Wistatejournal
twinkerdoodle,CharlesWoodson
muttmutt,RacineTEAParty
muttmutt,RacineTEAParty
StandUpWis,GovWalker
muttmutt,DefeatVos
wunderlich_emil,FalkforWI
rodgers_jeff,gjzielinski
SouthsideZorro,GovWalker
SouthsideZorro,wisconsinreport
RSLC_President,RSLC
AmyBarrilleaux,Barrett4WI
Meg_Moen,GovWalker
StandUpWis,GovWalker
wtdynews,LoriCompas
EmerDuck,GovWalker
tommytrc,PollyBriley
EmerDuck,GovWalker
StandUpWis,GovWalker
Catballou,lizfarrington
DefendWisconsin,MahlonMitchell
lizfarrington,Catballou
WI4Falk,BloggingBlue
WI4Falk,BloggingBlue
PiereChangstein,RWwatchMA
PiereChangstein,StandUpWis
Art4Gov,NicholsUprising
ElizaTorres13,WeRWisconsin
55Bentley,cr8f
mama2fluffs,AndrewKroll
unkybunky,tvconservative
ElizaTorres13,edshow
HelpThe99ers,WeRWisconsin
ShooterOneSix,edshow
RWwatchMA,PeterWBarca
Madtownandy,edshow
pack_go,edshow
Conservativeind,AnonyMissBadger
dikSjoberg,barrett4WI
Jane_WI,lawsonbulk
StandUpWis,GovWalker
StandUpWis,GovWalker's
daniel_thecuban,Conservativeind
StandUpWis,GovWalker
wisocialworker,BoxmanSigns
StandUpWis,GovWalker
Muxywithmoxie,MangosTango
Muxywithmoxie,KVinehout
muttmutt,LizSchmidt3
jgodersky,KatiePavlich
RWwatchMA,ScottKWalker's
deafear,DennisLane
SouthsideZorro,tombelter
deafear,EdFocus
deafear,RepPaulRyan
deafear,RepPaulRyan
klstone1969,CoffeeBean26
deafear,voces_milwaukee
muttmutt,keder
muttmutt,keder
tommytrc,ScottWalkersSUV
SpudLovr,CrailFor55
CrailFor55,SpudLovr
CrailFor55,unkybunky
JDNelson_68W,ChrisJLarson
mama2fluffs,AndrewKroll
mama2fluffs,AndrewKroll
DanDoranBlum,thedailybeast
BillGlanz,MahlonMitchell
james_bkelly,JaxonBrow
gbpressgazette,gbpressgazette
MikeLoweReports,GovWalker
Jane_WI,lawsonbulk
MikeLoweReports,GovWalker
janieblume,MahlonMitchell
jrock1965,widems
BenjaminSparks,MahlonMitchell
SouthsideZorro,GovWalker
SouthsideZorro,DanielBice
SouthsideZorro,GovWalker
SouthsideZorro,wisgop
Turalura1,michellemalkin
SouthsideZorro,wisconsinreport
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
SouthsideZorro,mediatrackers
dikSjoberg,GovWalker
Muxywithmoxie,MadPolitics
PGPattiZarling,govwalker
TimBurnIAFF,MahlonMitchell
PGPattiZarling,govwalker
TimBurnIAFF,judykeen
TimBurnIAFF,aterkel
james_bkelly,GovWalker
TimBurnIAFF,politicalwire
ProLifeWI,badgercatholic
lynnkcarey,news3jessica
Griff3rd,NicholsUprising
SouthsideZorro,GovWalker
MCNETHJ,kjon
craigspaulding,MadPolitics
SouthsideZorro,GovWalker
iminshock,NicholsUprising
SouthsideZorro,NewsMacIver
iminshock,NicholsUprising
SouthsideZorro,BenjaminSparks
BrownDeerRepub,danielbice
PiereChangstein,WEAC
PiereChangstein,steelekelly
BretLemoine,GovWalker
InWisc88,OFA_WI
RightBadger,RicanPrincessWI
JakeMillerWis,illusory_tenant
JStolzPaRTW,OurCountryPAC
55Bentley,rodeodance
ChrisOfRights,DanielBice
klstone1969,DanielBice
Catballou,Jack2John
scottwalkerwtch,Progress2day
RightBadger,DanielBice
StandUpWis,GovWalker
Catballou,PepperLSnyder
cMcolgs,GovWalker
TonyEnlow,NicholsUprising
Amy__Bailey,GovChristie
SouthsideZorro,GovWalker
Pworldawg,govwalker
SouthsideZorro,govwalker
SouthsideZorro,briansikma
briansikma,SouthsideZorro
SouthsideZorro,briansikma
SouthsideZorro,briansikma
SouthsideZorro,briansikma
Meg_Moen,GovWalker
Wi_Fwd,GovWalker
CityJournal,MadBadgerMom
Aqua_Buddah,GovWalker
dikSjoberg,barrett4wi
55Bentley,DefendWisconsin
MikeLoweReports,GovChristie
PeacefulVox,WeGotEd
sweet1kim,abynorml
MikeLoweReports,GovChristie
Lastmangoinfla,edshow
ShooterOneSix,edshow
Jane_WI,lcranston1939
Bobacheck,shreksshrek
SouthsideZorro,mediatrackers
SouthsideZorro,briansikma
WildCardHolder,WisGrover
50isthenew50,AnonyMissBadger
_Rita_B_R_,keeprightonline
Jane_WI,lcranston1939
Jane_WI,lawsonbulk
SouthsideZorro,VickiMcKenna
SouthsideZorro,VickiMcKenna
StandUpWis,GovWalker
InWisc88,bpshow
p8riot,jrios68
Jane_WI,lcranston1939
StandUpWis,GovWalker
StandUpWis,GovWalker
MikeLoweReports,GovWalker
MikeLoweReports,GovWalker
MikeLoweReports,GovWalker
StandUpWis,GovWalker
jack3win,briansikma
madturtle65,GovWalker
p8riot,ProgressPundit
mnabeelahmad,VIDEO
WEAC,FalkforWI
JakeMillerWis,govWalker
skohayes,GovWalker
savagebrandon,MittRomney
JakeMillerWis,dikSjoberg
BenHeath,SenRonJohnson
NewsHub,GovWalker
MikeLoweReports,MULawPoll
UWMadison,chhoffma
MikeLoweReports,MULawPoll
seanhackbarth,BuzzFeedBen
SouthsideZorro,VickiMcKenna
SouthsideZorro,VickiMcKenna
Meg_Moen,GovWalker
madturtle65,GovWalker
CamelotK,Ajblivits
SouthsideZorro,mkegop
SouthsideZorro,GovWalker
james_bkelly,GovWalker
StevenSchuster,erikgunn
Jane_WI,lcranston1939
Jane_WI,lawsonbulk
BfloBEAST,Art4Gov
Michael_Haz,BrownDeerRepub
DirtyDan64,edshow
Lilobri,bluecheddar1
justgrateful,JesseLaGreca
brokenwing2005,cr8f
Badgers_RebeL,jenmarten
WI4Perry,GovWalker
StandUpWis,RepPaulRyan
StandUpWis,WEAC
StandUpWis,GovWalker
SouthsideZorro,briansikma
SouthsideZorro,mediatrackers
madturtle65,restorereality
sweet1kim,dccc
sweet1kim,GovWalker
sweet1kim,WiscJobsNow
ejkirkstein,GovWalker
SouthsideZorro,briansikma
SouthsideZorro,wisconsinreport
StandUpWis,WEAC
SouthsideZorro,wisgop
Aqua_Buddah,GovWalker's
ejkirkstein,loudobbsnews
RWwatchMA,Progress2day
BarbCaffrey,paellacook
BarbCaffrey,paellacook
babaoreilymike,GovWalker
lynnkcarey,GovWalker
BenjaminSparks,WisDems
SpudLovr,BenjaminSparks
RedWisconsin,grumble_weed
grumble_weed,RedWisconsin
TAFORU,govwalker
nomorespend,WEAC
TAFORU,GovWalker
Karofsky,Barrett4WI
Whixer,DCsmartguy
Jane_WI,lcranston1939
tvconservative,R_J_Sterling
unkybunky,unkybunky
leslieamsterdam,Ian_Murphy
StandUpWis,GovWalker
StandUpWis,GovWalker
StandUpWis,GovWalker
StandUpWis,GovWalker
DanDoranBlum,WSJ
StandUpWis,GovWalker
puba1800,C4Palin
sweet1kim,NicholsUprising
ICUScottWalker,GovWalker
Amy__Bailey,govwalker
sweet1kim,SteveWisDems
JKWileman5,TJDuffy9
